iter	Logloss
220	0.4422874855
221	0.4413896433
222	0.4409870916
223	0.4405505447
224	0.4400921609
225	0.4395806141
226	0.4391285387
227	0.4387993155
228	0.4384991811
229	0.4378298433
230	0.4374378865
231	0.4366656192
232	0.4362455712
233	0.4357325685
234	0.4353221718
235	0.4349669871
236	0.4344379978
237	0.4338884118
238	0.4333011371
239	0.4328424568
240	0.4324994306
241	0.4319182757
242	0.4313662633
243	0.4309166682
244	0.4303592372
245	0.430075386
246	0.4295929818
247	0.4290992548
248	0.4285821274
249	0.4280930374
250	0.427405691
251	0.4269777709
252	0.4264043801
253	0.4260388162
254	0.4256829845
255	0.4253340543
256	0.4247407138
257	0.4243222564
258	0.4239565576
259	0.4234689773
260	0.4231142509
261	0.4227267693
262	0.4224407883
263	0.4220784056
264	0.4216599212
265	0.4213454445
266	0.4208365666
267	0.4203967846
268	0.4200321373
269	0.4197337552
270	0.4192851575
271	0.4188292271
272	0.4184516395
273	0.4179915034
274	0.4176093327
275	0.4173610404
276	0.4171280608
277	0.4168881528
278	0.4165437516
279	0.4159885582
280	0.4155076367
281	0.4153074932
282	0.4147976447
283	0.414265663
284	0.4137458397
285	0.4133056802
286	0.4129277961
287	0.4125381578
288	0.4122305017
289	0.4116982234
290	0.4111133481
291	0.4108043442
292	0.4104749053
293	0.4100779341
294	0.4097393562
295	0.4094050647
296	0.4089540138
297	0.4085941652
298	0.408181423
299	0.4078463767
300	0.4074937261
301	0.4072723389
302	0.4068539353
303	0.4063240294
304	0.4058270943
305	0.4056474665
306	0.4050336373
307	0.4047548004
308	0.4044914111
309	0.4039769527
310	0.4034936588
311	0.4031046406
312	0.4026448819
313	0.4023360128
314	0.4019871365
315	0.4017161986
316	0.4014447485
317	0.4009870118
318	0.4006220949
319	0.4002273883
320	0.399796988
321	0.399471593
322	0.3992262662
323	0.398914108
324	0.398375737
325	0.3979877162
326	0.3977412032
327	0.3973096976
328	0.3969749208
329	0.3965722074
330	0.3960770246
331	0.3956504795
332	0.3952417273
333	0.3948234855
334	0.3945099524
335	0.3941577871
336	0.3939054779
337	0.3936987563
338	0.3933375598
339	0.3929764711
340	0.3925342358
341	0.3923265976
342	0.3919580412
343	0.3916648622
344	0.3914250889
345	0.3911419387
346	0.3906402588
347	0.3903489669
348	0.3900509892
349	0.3896295932
350	0.3891027875
351	0.3886403869
352	0.388274176
353	0.3879314193
354	0.3875565546
355	0.3871542995
356	0.3867362733
357	0.3862452962
358	0.3860615976
359	0.38557488
360	0.3852327165
361	0.3848881806
362	0.3845507079
363	0.3842263913
364	0.3839910932
365	0.3837626427
366	0.3834491096
367	0.3829896206
368	0.382730329
369	0.3824367725
370	0.381917785
371	0.3816020952
372	0.3813337724
373	0.3808867384
374	0.3804735918
375	0.3802367301
376	0.3799388872
377	0.3796170508
378	0.3792047669
379	0.3788013256
380	0.3784501308
381	0.3781010928
382	0.3779068802
383	0.3775817817
384	0.3773447852
385	0.3770084988
386	0.3768285475
387	0.3765240457
388	0.3762021553
389	0.3758127597
390	0.3756200298
391	0.3752948774
392	0.3749288283
393	0.3746413645
394	0.3741675603
395	0.3738645951
396	0.3733756669
397	0.3731341682
398	0.3727667441
399	0.3723957075
400	0.3720144535
401	0.3715497883
402	0.3711661888
403	0.3707646616
404	0.3704914053
405	0.3700941645
406	0.3697695783
407	0.3694425118
408	0.3692115002
409	0.3689926741
410	0.3687261305
411	0.3684906437
412	0.3682593895
413	0.3679741903
414	0.3676322964
415	0.367232198
416	0.3669234097
417	0.3665571449
418	0.3663112249
419	0.3659939715
420	0.3656292703
421	0.3651268356
422	0.3648565717
423	0.3645801072
424	0.364259484
425	0.3639324444
426	0.3636365156
427	0.3633314476
428	0.3631170697
429	0.3628320862
430	0.3624720489
431	0.3622242958
432	0.3618789511
433	0.3616263993
434	0.3613933388
435	0.3611542934
436	0.3609081578
437	0.3606313429
438	0.3602245587
439	0.3599328354
440	0.3596616819
441	0.359442074
442	0.35918963
443	0.358940475
444	0.3587028584
445	0.3583286676
446	0.3579891731
447	0.3577204189
448	0.3574083146
449	0.3571040015
450	0.3568594565
451	0.3564599782
452	0.3562383214
453	0.3559838824
454	0.355616027
455	0.3553304504
456	0.3550929956
457	0.3548456199
458	0.3545330573
459	0.3542153456
460	0.3539145102
461	0.3537184105
462	0.3533814771
463	0.3530994321
464	0.3527620942
465	0.3525350187
466	0.3521347855
467	0.351895147
468	0.3515890276
469	0.3511104247
470	0.3509083131
471	0.3506395859
472	0.3503873845
473	0.3500847699
474	0.3498252356
475	0.3495091954
476	0.3492049093
477	0.3488715883
478	0.3485402892
479	0.3483003003
480	0.3479790839
481	0.3477065555
482	0.3473509664
483	0.3471367233
484	0.3467292381
485	0.3464934817
486	0.3462265338
487	0.3459749256
488	0.3457362846
489	0.3454294104
490	0.345100268
491	0.3449096141
492	0.3446588954
493	0.3444419564
494	0.3442324042
495	0.3439543492
496	0.3436284149
497	0.3433069829
498	0.3430292783
499	0.3427841941
500	0.3425565794
501	0.3420658449
502	0.3418165011
503	0.3415064727
504	0.3412599867
505	0.340985005
506	0.3407558266
507	0.3404699534
508	0.3402593229
509	0.3398335865
510	0.3395390595
511	0.339281655
512	0.3389537798
513	0.3386585249
514	0.3384281334
515	0.3381523968
516	0.3378790326
517	0.3376096584
518	0.3373937708
519	0.3370554624
520	0.3365295734
521	0.3362191136
522	0.3357132551
523	0.335427328
524	0.3350593378
525	0.3346954454
526	0.3344711465
527	0.3342833502
528	0.3339983937
529	0.3336903333
530	0.3333909267
531	0.3328210676
532	0.3325221732
533	0.3322250043
534	0.3319079396
535	0.3316658478
536	0.3314429509
537	0.3311971388
538	0.3309400579
539	0.3306466362
540	0.3303459087
541	0.3300849456
542	0.3297899334
543	0.3296090655
544	0.3294119953
545	0.3292054085
546	0.3290069364
547	0.3287421452
548	0.3284253771
549	0.3280318028
550	0.3277053024
551	0.3274420209
552	0.3271970176
553	0.3269547371
554	0.3267119445
555	0.3264848689
556	0.326207353
557	0.3259252002
558	0.3255193057
559	0.3252872427
560	0.3250114522
561	0.3247272235
562	0.3244486293
563	0.3241449902
564	0.3238391674
565	0.3235666659
566	0.3232813589
567	0.3230523153
568	0.3227944256
569	0.3225362933
570	0.3222909665
571	0.3219639539
572	0.3217046893
573	0.3214738933
574	0.321278225
575	0.3209858278
576	0.3207106304
577	0.3204423884
578	0.3202426762
579	0.3198095531
580	0.319563741
581	0.3191340416
582	0.3187861628
583	0.3185680915
584	0.3183083416
585	0.3180736636
586	0.3176948359
587	0.3173866407
588	0.3170383575
589	0.3167358506
590	0.3165438757
591	0.316276092
592	0.3159833173
593	0.3157223004
594	0.3154797503
595	0.3152129911
596	0.3149184911
597	0.3146773429
598	0.3144054345
599	0.3140785298
600	0.3138516969
601	0.3136479138
602	0.3134404105
603	0.3130578894
604	0.3128630298
605	0.3125725466
606	0.3123028759
607	0.3119633004
608	0.3117727543
609	0.3115921829
610	0.3113287666
611	0.310980106
612	0.3107232946
613	0.3104747327
614	0.3101803945
615	0.3100019529
616	0.3097485923
617	0.309479272
618	0.3092587744
619	0.3090190281
620	0.3086162877
621	0.3083335957
622	0.3081214285
623	0.3078448562
624	0.3074789148
625	0.3072078961
626	0.3069679072
627	0.3067249797
628	0.3064689501
629	0.3062620668
630	0.3058983361
631	0.3054022907
632	0.3051100552
633	0.304905733
634	0.3047042415
635	0.304341023
636	0.3038588076
637	0.3036757021
638	0.3033926057
639	0.3031844823
640	0.302937538
641	0.3026236275
642	0.3024330813
643	0.302206518
644	0.3020168614
645	0.3016290564
646	0.3012722271
647	0.3010235844
648	0.3008290483
649	0.300609656
650	0.30037762
651	0.3001672859
652	0.2998092166
653	0.2993473013
654	0.2990821596
655	0.298772266
656	0.2984534759
657	0.2979706673
658	0.2976360254
659	0.2973971957
660	0.2971933587
661	0.2969013659
662	0.2966512943
663	0.2964521752
664	0.2960718647
665	0.2957321005
666	0.2953829277
667	0.2951032551
668	0.2949287226
669	0.2946397492
670	0.294307884
671	0.2941255603
672	0.2937807548
673	0.293561039
674	0.2933220206
675	0.2930996089
676	0.2928000676
677	0.2926395807
678	0.2923424118
679	0.2920583449
680	0.2917279355
681	0.2915545622
682	0.2912740539
683	0.2911027565
684	0.2907144122
685	0.2905369951
686	0.2901998459
687	0.2900020478
688	0.2897982378
689	0.2896174508
690	0.2892147644
691	0.2889598132
692	0.2887437908
693	0.2885678564
694	0.2884251894
695	0.2880755313
696	0.2878782993
697	0.2875002265
698	0.2872815351
699	0.2868972886
700	0.286522316
701	0.2861471816
702	0.2859623238
703	0.2858165296
704	0.285413951
705	0.2852387984
706	0.2848763887
707	0.2846888081
708	0.2843898598
709	0.284058372
710	0.2838351786
711	0.2836145462
712	0.2833817014
713	0.283071619
714	0.2827065943
715	0.2823886669
716	0.2821304267
717	0.2819692659
718	0.2815390543
719	0.2813425772
720	0.2812126348
721	0.2808722506
722	0.2805981316
723	0.2801584844
724	0.2797835926
725	0.279615072
726	0.2792620709
727	0.2789331982
728	0.2786846363
729	0.2783393455
730	0.27808922
731	0.277717779
732	0.2774374595
733	0.2772541922
734	0.2770781231
735	0.2767743222
736	0.2765185353
737	0.2763899948
738	0.2761012371
739	0.2759472203
740	0.2757616886
741	0.2753935635
742	0.2751916407
743	0.27504156
744	0.2746235069
745	0.2744044651
746	0.2740398717
747	0.2739022191
748	0.2735805983
749	0.2733781093
750	0.2732338518
751	0.273054898
752	0.2728137768
753	0.2725422458
754	0.2723520501
755	0.2722115668
756	0.2718841768
757	0.2714202126
758	0.2711159534
759	0.2709790287
760	0.2707216512
761	0.2704437579
762	0.2703067523
763	0.2701306293
764	0.2698275293
765	0.2693738634
766	0.2690932203
767	0.2689220038
768	0.2685781957
769	0.2682843427
770	0.2681644291
771	0.2679537985
772	0.2678405438
773	0.2676389984
774	0.2672631901
775	0.267051535
776	0.2666390355
777	0.266473049
778	0.2661655008
779	0.2658738584
780	0.2657062544
781	0.2655077284
782	0.2653027322
783	0.2649201841
784	0.2646483566
785	0.2643897121
786	0.2642417342
787	0.2641092577
788	0.2639471802
789	0.2638538482
790	0.2636787765
791	0.2634640751
792	0.2631668253
793	0.2628930837
794	0.262683181
795	0.2623947737
796	0.2621913142
797	0.2620266217
798	0.2617243844
799	0.2615058818
800	0.2614136281
801	0.2612547858
802	0.2611624782
803	0.2607853758
804	0.2605754192
805	0.2602970676
806	0.2601024776
807	0.2599520734
808	0.2596116083
809	0.25937383
810	0.259141093
811	0.2588542493
812	0.2586212158
813	0.2583914713
814	0.2581147912
815	0.2580251256
816	0.2578898184
817	0.2578012311
818	0.2574356672
819	0.2572364133
820	0.2569188094
821	0.2565400087
822	0.256368846
823	0.2562266104
824	0.2559808522
825	0.255654271
826	0.2553457523
827	0.2552255691
828	0.255140163
829	0.2549036248
830	0.2546242488
831	0.2542760195
832	0.254042312
833	0.2538755707
834	0.2535837665
835	0.2534419083
836	0.2533635655
837	0.2531224712
838	0.2528381348
839	0.2526567547
840	0.252450114
841	0.2522063508
842	0.2521341277
843	0.251834155
844	0.2517567018
845	0.2514724731
846	0.2512087064
847	0.2509618968
848	0.2508404196
849	0.2506947602
850	0.2505658153
851	0.2504927025
852	0.2504017968
853	0.2503377422
854	0.2500630032
855	0.2499770309
856	0.2498136325
857	0.2497491735
858	0.2496142708
859	0.2494755398
860	0.2494224845
861	0.2491797727
862	0.2488654039
863	0.2486035243
864	0.2483146317
865	0.2482341322
866	0.2479272849
867	0.2478774377
868	0.2475657648
869	0.2473742751
870	0.2470623057
871	0.2467528973
872	0.2465678508
873	0.2464190102
874	0.2463515319
875	0.2461045336
876	0.2459394907
877	0.2457050822
878	0.2454417198
879	0.2452676456
880	0.24495511
881	0.2447893122
882	0.2446311169
883	0.2443560813
884	0.2440485331
885	0.2437457567
886	0.2436662546
887	0.2433683038
888	0.2431240284
889	0.2430489746
890	0.2429295732
891	0.2426913905
892	0.2424333121
893	0.2422929636
894	0.2421181615
895	0.242066508
896	0.2416217117
897	0.2413138669
898	0.2410602907
899	0.2408034254
900	0.2406568224
901	0.2406063552
902	0.2402864598
903	0.2402176065
904	0.2399388236
905	0.2398386979
906	0.2395197461
907	0.239369261
908	0.2392253539
909	0.2389327679
910	0.2388516214
911	0.2386277809
912	0.2384069059
913	0.2381303336
914	0.2379563942
915	0.2377110134
916	0.2375397699
917	0.2374721028
918	0.2373584437
919	0.2371193984
920	0.2370121824
921	0.2369411725
922	0.2367480652
923	0.236705443
924	0.2365563598
925	0.2363451092
926	0.2360284489
927	0.2359016338
928	0.2355769666
929	0.23540052
930	0.2350831318
931	0.2350030906
932	0.2348491817
933	0.2346469623
934	0.2344464952
935	0.2343530015
936	0.2339335735
937	0.2338651246
938	0.2338156279
939	0.2337714421
940	0.2336383725
941	0.2334396308
942	0.2330251363
943	0.2329119625
944	0.2327672736
945	0.2326626727
946	0.2324990856
947	0.2323593301
948	0.2321181011
949	0.2320696827
950	0.2317838096
951	0.2317359035
952	0.2316655675
953	0.231542958
954	0.2312765762
955	0.2312137348
956	0.2310835228
957	0.2309334691
958	0.2306329572
959	0.2305403531
960	0.2303824543
961	0.2303127922
962	0.2300554147
963	0.2298584524
964	0.2298115168
965	0.2294522343
966	0.229213135
967	0.2289539512
968	0.2289071235
969	0.2287799579
970	0.2286342176
971	0.2283884055
972	0.2283423865
973	0.2282096944
974	0.2279787097
975	0.2277359171
976	0.2276903564
977	0.2274117082
978	0.227162715
979	0.2271175587
980	0.2270524527
981	0.2268986517
982	0.2266882907
983	0.226437626
984	0.2262674069
985	0.2259763307
986	0.2257727229
987	0.2255600703
988	0.2254270547
989	0.2253822488
990	0.2252659343
991	0.2251250466
992	0.224930497
993	0.2248627895
994	0.2247643892
995	0.2247202304
996	0.2245550796
997	0.2243683616
998	0.2241829512
999	0.224115702
